id	sku	code	pricemod	weightmod	description	offering	backorder	notstocked	tabletype
1	HE9383	AA			@Chinese			0	Language
2	HE9383	AB			@French			1	Language
3	HE9383	AC			@Gaelic			1	Language
4	HE9383	AD			@German			1	Language
5	HE9383	AE			@Italian			1	Language
6	HE9383	AF			@Japanese			1	Language
7	HE9383	AG			@Latin			0	Language
8	HE9383	AH			@Polish			1	Language
9	HE9383	AI			@Spanish			1	Language
10	HF2682	XS			@XS			1	Size
11	HF2682	S			@Small			1	Size
12	VF0701S	M			@Medium			1	Size
13	VF0701S	L			@Large			0	Size
14	VF0701S	XL			@XL			0	Size
15	VF0701S	2X	2		@XXL (add $2)			0	Size
16	VF0701T	M			@Medium			1	Size
17	VF0701T	L			@Large			1	Size
18	VF0701T	XL			@XL			1	Size
19	VF0701T	2X	2		@XXL (add $2)			0	Size
20	HD0452S	M			@Medium			0	Size
21	HD0452S	L			@Large			0	Size
22	HD0452S	XL			@XL			0	Size
23	HD0452S	2X	2		@XXL (add $2)			0	Size
24	HD0452T	M			@Medium			0	Size
25	HD0452T	L			@Large			0	Size
26	HD0452T	XL			@XL			0	Size
27	HD0452T	2X	2		@XXL (add $2)			0	Size
28	HD1902S	M			@Medium			0	Size
29	HD1902S	L			@Large			0	Size
30	HD1902S	XL			@XL			0	Size
31	HD1902S	2X	2		@XXL (add $2)			0	Size
32	HD1902T	M			@Medium			0	Size
33	HD1902T	L			@Large			0	Size
34	HD1902T	XL			@XL			0	Size
35	HD1902T	2X	2		@XXL (add $2)			0	Size
36	HE9811L	M			@Medium			0	Size
37	HE9811L	L			@Large			0	Size
38	HE9811L	XL			@XL			0	Size
39	HE9811L	2X	2		@XXL (add $2)			0	Size
40	HE9811T	M			@Medium			0	Size
41	HE9811T	L			@Large			0	Size
42	HE9811T	XL			@XL			0	Size
43	HE9811T	2X	2		@XXL (add $2)			0	Size
44	VF2731L	M			@Medium			0	Size
45	VF2731L	L			@Large			0	Size
46	VF2731L	XL			@XL			0	Size
47	VF2731L	2X	2		@XXL (add $2)			0	Size
48	VF2731T	M			@Medium			0	Size
49	VF2731T	L			@Large			0	Size
50	VF2731T	XL			@XL			0	Size
51	VF2731T	2X	2		@XXL (add $2)			0	Size
52	HE1902	GR			@Green			0	Color
53	HE1902	OR			@Orange			0	Color
54	HE1902	RT			@Rust			0	Color
55	AT8051S	M			@Medium			1	Size
56	AT8051S	L			@Large			1	Size
57	AT8051S	XL			@XL			0	Size
58	AT8051S	2X	2		@XXL (add $2)			0	Size
59	AT8051T	M			@Medium			0	Size
60	AT8051T	L			@Large			0	Size
61	AT8051T	XL			@XL			1	Size
62	AT8051T	2X	2		@XXL (add $2)			1	Size
63	PG7922	6			@Size 6			0	Size
64	PG7922	7			@Size 7			0	Size
65	PG7922	8			@Size 8			0	Size
66	PG7922	9			@Size 9			0	Size
67	PG7922	10			@Size 10			1	Size
68	PG7922	11			@Size 11			1	Size
69	PG7932	6			@Size 6			0	Size
70	PG7932	7			@Size 7			0	Size
71	PG7932	8			@Size 8			0	Size
72	PG7932	9			@Size 9			0	Size
73	PG7932	10			@Size 10			0	Size
74	PG7932	11			@Size 11			0	Size
75	PG4582	6			@Size 6			1	Size
76	PG4582	7			@Size 7			1	Size
77	PG4582	8			@Size 8			1	Size
78	PG4582	9			@Size 9			1	Size
79	PG4582	10			@Size 10			1	Size
80	PG4582	11			@Size 11			1	Size
81	PG5002	6			@Size 6			0	Size
82	PG5002	7			@Size 7			0	Size
83	PG5002	8			@Size 8			0	Size
84	PG5002	9			@Size 9			0	Size
85	PG5002	10			@Size 10			0	Size
86	PG5002	11			@Size 11			0	Size
87	PG7902	6			@Size 6			1	Size
88	PG7902	7			@Size 7			1	Size
89	PG7902	8			@Size 8			1	Size
90	PG7902	9			@Size 9			0	Size
91	PG7902	10			@Size 10			0	Size
92	PG7902	11			@Size 11			1	Size
93	PG7902	12			@Size 12			1	Size
94	PG7912	6			@Size 6			0	Size
95	PG7912	7			@Size 7			0	Size
96	PG7912	8			@Size 8			0	Size
97	PG7912	9			@Size 9			0	Size
98	PG7912	10			@Size 10			0	Size
99	PG7912	11			@Size 11			1	Size
100	PG7912	12			@Size 12			0	Size
101	PJ8742	6			@Size 6			1	Size
102	PJ8742	7			@Size 7			1	Size
103	PJ8742	8			@Size 8			1	Size
104	PJ8742	9			@Size 9			1	Size
105	PJ8742	10			@Size 10			1	Size
