id	custom	data	prompt	maxlength	required	list
1	HL4192	DATA1	City or town (30 char. max)	30	1	
2	AL4722	DATA1	Last Name (Ex. Taylor's)	12	1	
3	AM1012	DATA1	Last Name (Ex. Taylor's)	12	1	
4	AQ7932	DATA1	Last Name (Ex. Taylor's)	12	1	
5	AR0062	DATA1	Last Name (Ex. Taylor's)	12	1	
6	AR0102	DATA1	Last Name (Ex. Taylor's)	12	1	
7	AR9672	DATA1	Last Name (Ex. Taylor's)	12	1	
8	HA1712	DATA1	Date (mm/dd/yyyy EX&#58; 05/25/1985)	10	1	
9	HA1712	DATA2	City (ex. Cambridge)	55		
10	HA1712	DATA3	State (ex. MA. If foreign then country goes here)	55		
11	HA1712	DATA4	Add'l Message (Up to 55 characters)	55		
12	HA1712	DATA5	From Message (Up to 55 characters)	55		
13	HA2942	DATA1	First Name of Groom & First Name of Bride (please separate with ampersand)	25	1	
14	HA2942	DATA2	Date Of Wedding mm/dd/yyyy EX&#58; (06/08/2010)	10	1	
15	HA5752	DATA1	Birthdate(Month/Day)	20	1	
16	HA6192	DATA1	Specify Boy or Girl	4	1	
17	HA6192	DATA2	Child's First Name	15		
18	HA6192	DATA3	Child's Last Name	15		
19	HA6192	DATA4	Child's Birthdate (mm/dd/yy)	8		
20	HB1082	DATA1	Individual's Full Name	35	1	
21	HB1082	DATA2	School's Name	35		
22	HB1082	DATA3	Graduation Year	4		
23	HB2422	DATA1	13 Characters (Upper Case)	13	1	
24	HB2432	DATA1	15 Upper Case Letters ALL CAPS PLEASE	15	1	
25	HA9222	DATA1	50 Proper (Mixed) Case Letters	50	1	
26	HB2962	DATA1	50 Proper (Mixed) Case Letters	50	1	
27	HB1602	DATA1	First Month (in 2-digit form - ex. 06 is June)	2	1	
28	HB1602	DATA2	Second Month (in 2-digit form - ex. 06 is June)	2		
29	HB1602	DATA3	Third Month (in 2-digit form - ex. 06 is June)	2		
30	HB1602	DATA4	Fourth Month (in 2-digit form - ex. 06 is June)	2		
31	HB1602	DATA5	Fifth Month (in 2-digit form - ex. 06 is June)	2		
32	HB1602	DATA6	Sixth Month (in 2-digit form - ex. 06 is June)	2		
33	HB1602	DATA7	Seventh Month (in 2-digit form - ex. 06 is June)	2		
34	HB1602	DATA8	Eighth Month (in 2-digit form - ex. 06 is June)	2		
35	HB1602	DATA9	Nineth Month (in 2-digit form - ex. 06 is June)	2		
36	HB1602	DATA10	Tenth Month (in 2-digit form - ex. 06 is June)	2		
37	HB1612	DATA1	First Month (in 2-digit form - ex. 06 is June)	2	1	
38	HB1612	DATA2	Second Month (in 2-digit form - ex. 06 is June)	2		
39	HB1612	DATA3	Third Month (in 2-digit form - ex. 06 is June)	2		
40	HB1612	DATA4	Fourth Month (in 2-digit form - ex. 06 is June)	2		
41	HB1612	DATA5	Fifth Month (in 2-digit form - ex. 06 is June)	2		
42	HB1612	DATA6	Sixth Month (in 2-digit form - ex. 06 is June)	2		
43	HB1612	DATA7	Seventh Month (in 2-digit form - ex. 06 is June)	2		
44	HB1612	DATA8	Eighth Month (in 2-digit form - ex. 06 is June)	2		
45	HB1612	DATA9	Nineth Month (in 2-digit form - ex. 06 is June)	2		
46	HB1612	DATA10	Tenth Month (in 2-digit form - ex. 06 is June)	2		
47	HB1582	DATA1	Mothers Birth Month (in 2-digit form - ex. 08 is August)	2	1	
48	HB1582	DATA2	First Child's Birth Month (in 2-digit form - ex. 08 is August)	2		
