1	FB8322	AM			@Amber			0	Color
2	FB8322	BK			@Black			0	Color
3	FB8322	RS			@Rose			0	Color
4	FB0632	S			@Small			0	Size
5	FB0632	M			@Medium			0	Size
6	FB0632	L			@Large			0	Size
7	FC2622_1	BK			@Black			0	Color
8	FC2622_1	BR			@Brown			0	Color
9	FC2622_1	KH			@Khaki			0	Color
10	FC2622_1	WH			@White			0	Color
11	FC2622_2	S			@Small			0	Size
12	FC2622_2	M			@Medium			0	Size
13	FC2622_2	L			@Large			0	Size
14	FC2722	OG			@Original			0	Color
15	FC2722	OR			@Orange			0	Color
16	FC2722	RR			@Raspberry			0	Color
17	FB6322	S			@Small			0	Size
18	FB6322	M			@Medium			0	Size
19	FB6322	LX			@Large			0	Size
20	FC1442	BL			@Blue			0	Color
21	FC1442	RD			@Red			0	Color
22	FC1442	SV			@Silver			0	Color
23	FA7542_1	WH			@White			0	Color
24	FA7542_1	BK			@Black			0	Color
25	FA7542_1	NV			@Navy			0	Color
26	FA7542_2	SM			@Small			0	Size
27	FA7542_2	M			@Medium			0	Size
28	FA7542_2	L			@Large			0	Size
29	FA7542_2	XL			@X-Large			0	Size
30	FC2552	PM			@Petite / Medium			0	Size
31	FC2552	MT			@Medium / Tall			0	Size
32	FC1652_1	BL			@Blue Floral			0	Color
33	FC1652_1	RD			@Red Floral			0	Color
34	FC1652_2	S			@Small			0	Size
35	FC1652_2	M			@Medium			0	Size
36	FC1652_2	L			@Large			0	Size
37	FC1652_2	1X			@1X			0	Size
38	FC1652_2	2X			@2X			0	Size
39	FC1652_2	3X			@3X			0	Size
40	FG2222	9V			@9 Volt (one)			0	BatteryType
41	FG2222	AA			@AA (4 pack)			0	BatteryType
42	FG2222	AAA			@AAA (4 pack)			0	BatteryType
43	FA7552_1	WH			@White			0	Color
44	FA7552_1	NV			@Navy			0	Color
45	FA7552_1	TN			@Tan			0	Color
46	FA7552_1	BK			@Black			0	Color
47	FA7552_2	S			@Small			0	Size
48	FA7552_2	ML			@Medium - Large			0	Size
49	FA7552_2	XL			@X-Large			0	Size
